Code,Sévérité V 1.1,Description,Facteur,gauche,critere,metrique
MISC.HMF,1,Avoid giving method local variables the same name as class fields,maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev1
MISC.PCIF,1,"Declare ""for"" loops with a condition and an increment statement ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev1
MISC.PCTOR,2,"Avoid non-public classes with ""public"" constructors ",architecture,MISC,architecture_MISC,architecture_MISC_sev2
MISC.PSFA,2,"Avoid using ""public static final"" array fields ",securite,MISC,securite_MISC,securite_MISC_sev2
MISC.UBD,3,"Avoid ""float"" and ""double"" if exact answers are required ",fiabilite,MISC,fiabilite_MISC,fiabilite_MISC_sev3
MISC.UST,2,Use 'StringTokenizer' instead of 'indexOf ()' or 'substring ()' for String parsing,fiabilite,MISC,fiabilite_MISC,fiabilite_MISC_sev2
NAMING.GETA,1,Prepend 'get' to the names of getter methods ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev1
NAMING.GETB,3,"Prepend 'is  can  has  have' to the names of ""boolean"" getter methods",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev3
NAMING.IFV,2,"Use all uppercase letters for the names of fields in an ""interface"" ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.IRB,1,"Use 'is...' only for naming methods that return a ""boolean"" ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev1
NAMING.NCL,2,Enforce name format of classes ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NE,2,Enforce name format of exceptions ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NIF,2,Enforce name format of non-”static” fields ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NITF,2,Enforce name format of interfaces ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NLV,2,Enforce name format of local variables ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NM,2,Enforce name format of non-”static” methods ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NMP,2,Enforce name format of method parameters ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NSF,2,Enforce name format of non-“final” “static” fields ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2,
NAMING.NSM,2,"Enforce name format of ""static"" methods ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2,
NAMING.PKG,3,"Use lowercase letters for “package"" names ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev3,
NAMING.SETA,2,Prepend 'set' to the names of setter methods ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2,
NAMING.USF,2,"Avoid lowercase letters in ""final"" ""static"" field names ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2,
OOP.AIC,1,"Make inner classes ""private""",fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev1,
OOP.AHF,1,Avoid hiding inherited instance fields ,fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev1,
OOP.AHSM,2,Avoid hiding inherited “static” member methods ,fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev2,
OOP.APPF,2,Avoid “public” or package-private instance fields ,fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev2,
OOP.APROF,2,Avoid “protected” instance fields ,fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev2,
OOP.LEVEL,2,Avoid more than two levels of nested inner classes ,maintenabilite,OOP,maintenabilite_OOP,maintenabilite_OOP_sev2,
OOP.OPM,2,"Avoid overriding a ""private"" method ",maintenabilite,OOP,maintenabilite_OOP,maintenabilite_OOP_sev2,
OPT.AAS,3,Use abbreviated assignment operators ,performance,OPT,performance_OPT,performance_OPT_sev3,
OPT.CEL,2,Avoid calling methods in loop condition statements ,performance,OPT,performance_OPT,performance_OPT_sev2,
OPT.CS,1,Close streams in “finally” blocks ,performance,OPT,performance_OPT,performance_OPT_sev1,
OPT.DIC,3,Define initial capacities for ‘ArrayList’  ‘HashMap’  ‘HashSet’  ’Hashtable’  ’Vector’  and ‘WeakHashMap’,performance,OPT,performance_OPT,performance_OPT_sev3,
OPT.IRB,2,Use ‘System.arraycopy ()’ instead of using a loop to copy arrays ,performance,OPT,performance_OPT,performance_OPT_sev2
OPT.LOOP,2,Avoid instantiating variables in a loop body ,performance,OPT,performance_OPT,performance_OPT_sev2
OPT.PCTS,3,Use 'charAt ()' instead of 'startsWith ()' for one character  comparisons,performance,OPT,performance_OPT,performance_OPT_sev3
OPT.SB,3,Specify an initial 'StringBuffer' capacity ,performance,OPT,performance_OPT,performance_OPT_sev3
OPT.SDIV,3,Use the right shift operator for division by powers of 2 ,performance,OPT,performance_OPT,performance_OPT_sev3
OPT.SMUL,3,Use the left shift operator for multiplication by powers of 2 ,performance,OPT,performance_OPT,performance_OPT_sev3
OPT.STR,3,Use single quotes instead of double quotes for single character string concatenation,performance,OPT,performance_OPT,performance_OPT_sev3
OPT.SYN,2,"Avoid calling a ""synchronized"" method in a loop ",performance,OPT,performance_OPT,performance_OPT_sev2
OPT.TRY,2,"Place ""try/catch/finally"" blocks outside of loops ",performance,OPT,performance_OPT,performance_OPT_sev2
OPT.UEQ,2,"Avoid comparing boolean variables with ""true"" ",performance,OPT,performance_OPT,performance_OPT_sev2
OPT.UISO,1,"Avoid unnecessary ""instanceof"" evaluations ",performance,OPT,performance_OPT,performance_OPT_sev1
OPT.UNC,1,Avoid unnecessary casting ,performance,OPT,performance_OPT,performance_OPT_sev1
OPT.USB,2,Use ‘StringBuffer’ instead of ‘String’ for non-constant strings ,performance,OPT,performance_OPT,performance_OPT_sev2
OPT.USC,2,Use ’String’ instead of ’StringBuffer’ for constant strings ,performance,OPT,performance_OPT,performance_OPT_sev2
OPT.USV,2,Use ‘stack’ variables whenever possible ,performance,OPT,performance_OPT,performance_OPT_sev2
PB.ADE,1,Avoid dangling “else” statements ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.AECB,1,Avoid “catch” blocks with empty bodies ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.ASI,2,Avoid assignment within an “if” condition ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.CLP,2,Avoid casting primitive data types to lower precision ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.DCF,2,Avoid comparing floating point types ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.DCP,2,"Avoid using ""+"" on Strings to concatenate instead of add numbers ",fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.EQL,3,Use 'getClass ()' in the 'equals ()' method implementation ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev3
PB.FEB,1,Avoid “for” statements with empty bodies ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.FLVA,2,"Do not assign loop control variables in the body of a ""for"" loop ",fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.IEB,1,Avoid “if” statements with empty bodies ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.IESM,2,"Avoid calling 'String.equals (""literal"")' or 'String.equalsIgnoreCase(""literal"")' '",fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.IMO,2,Make sure the intended method is overridden ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.MAIN,1,Use the method name 'main ()' only for the entry point method ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.MPC,2,Avoid using method parameter names that conflict with class member names,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.NAMING,1,Avoid giving non-constructor methods the same name as the class,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.NDC,1,Avoid defining direct or indirect subclasses of 'Error' and 'Throwable',fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.NXRE,3,Avoid defining direct or indirect subclasses of 'RuntimeException' ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev3
PB.PDS,2,"Provide ""default:"" for each ""switch"" statement ",fiabilite,PB,fiabilite_PB,fiabilite_PB_sev2
PB.SBC,1,Avoid a “switch” statement with a bad “case” ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.TLS,1,"Avoid using text labels in ""switch"" statements ",fiabilite,PB,fiabilite_PB,fiabilite_PB_sev1
PB.UEI,3,Use ‘equals ()’ when comparing Objects ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev3
PB.UEI2,3,Use ‘equals ()’ when comparing Strings ,fiabilite,PB,fiabilite_PB,fiabilite_PB_sev3
PMETRICS.NB,2,Number of bytes ,volumeapplication,PMETRICS,volumeapplication_PMETRICS,volumeapplication_PMETRICS_sev2
PMETRICS.NC,2,Number of classes ,volumeapplication,PMETRICS,volumeapplication_PMETRICS,volumeapplication_PMETRICS_sev2
PMETRICS.NJF,2,Number of Java source files ,volumeapplication,PMETRICS,volumeapplication_PMETRICS,volumeapplication_PMETRICS_sev2
PMETRICS.NL,2,Number of lines ,volumeapplication,PMETRICS,volumeapplication_PMETRICS,volumeapplication_PMETRICS_sev2
PMETRICS.NOF,2,Number of fields ,volumeapplication,PMETRICS,volumeapplication_PMETRICS,volumeapplication_PMETRICS_sev2
